Number of files in the pypy subtree
date,  number of files,  number of testfiles
2005/07/10, 535, 148
2005/07/09, 531, 147
2005/07/07, 531, 147
2005/07/06, 528, 143
2005/07/05, 524, 141
2005/07/04, 507, 141
2005/07/03, 507, 141
2005/07/02, 472, 138
2005/07/01, 472, 137
2005/06/30, 471, 137
2005/06/29, 471, 137
2005/06/28, 470, 137
2005/06/26, 470, 137
2005/06/25, 470, 137
2005/06/24, 469, 136
2005/06/23, 473, 135
2005/06/22, 472, 134
2005/06/21, 472, 134
2005/06/20, 470, 134
2005/06/19, 468, 133
2005/06/18, 466, 131
2005/06/17, 455, 130
2005/06/16, 455, 130
2005/06/15, 456, 130
2005/06/14, 457, 130
2005/06/13, 474, 127
2005/06/12, 474, 126
2005/06/11, 473, 126
2005/06/10, 473, 125
2005/06/09, 472, 124
2005/06/08, 471, 125
2005/06/07, 469, 124
2005/06/06, 469, 124
2005/06/05, 462, 122
2005/06/04, 459, 123
2005/06/03, 458, 122
2005/06/02, 458, 122
2005/06/01, 457, 121
2005/05/31, 457, 120
2005/05/30, 454, 118
2005/05/29, 453, 114
2005/05/28, 452, 114
2005/05/27, 452, 114
2005/05/26, 448, 114
2005/05/25, 448, 114
2005/05/24, 446, 114
2005/05/23, 440, 113
2005/05/22, 434, 113
2005/05/21, 436, 113
2005/05/20, 425, 112
2005/05/19, 425, 112
2005/05/18, 426, 112
2005/05/17, 385, 115
2005/05/16, 385, 115
2005/05/15, 386, 115
2005/05/14, 375, 114
2005/05/13, 375, 114
2005/05/12, 374, 113
2005/05/11, 372, 111
2005/05/10, 371, 110
2005/05/09, 368, 108
2005/05/08, 367, 108
2005/05/07, 367, 107
2005/05/06, 367, 107
2005/05/05, 367, 107
2005/05/04, 366, 106
2005/05/03, 366, 106
2005/05/02, 364, 105
2005/05/01, 357, 104
2005/04/30, 368, 113
2005/04/29, 368, 112
2005/04/28, 365, 110
2005/04/27, 365, 110
2005/04/26, 363, 110
2005/04/25, 342, 129
2005/04/24, 327, 104
2005/04/23, 325, 104
2005/04/22, 325, 104
2005/04/21, 325, 104
2005/04/20, 325, 103
2005/04/19, 326, 101
2005/04/18, 326, 101
2005/04/17, 326, 101
2005/04/16, 323, 100
2005/04/15, 322, 100
2005/04/14, 321, 100
2005/04/13, 317, 97
2005/04/12, 316, 97
2005/04/11, 313, 96
2005/04/10, 311, 97
2005/04/09, 310, 97
2005/04/08, 310, 97
2005/04/07, 310, 97
2005/04/06, 310, 97
2005/04/05, 310, 97
2005/04/04, 310, 97
2005/04/03, 309, 97
2005/04/02, 305, 97
2005/04/01, 297, 97
2005/03/31, 291, 97
2005/03/30, 290, 97
2005/03/29, 290, 97
2005/03/28, 289, 96
2005/03/27, 289, 96
2005/03/24, 289, 96
2005/03/23, 289, 96
2005/03/22, 288, 97
2005/03/21, 276, 95
2005/03/20, 272, 94
2005/03/19, 267, 90
2005/03/17, 266, 90
2005/03/15, 265, 90
2005/03/14, 265, 90
2005/03/13, 265, 90
2005/03/12, 265, 90
2005/03/11, 265, 90
2005/03/10, 265, 90
2005/03/06, 264, 90
2005/03/05, 264, 90
2005/03/04, 264, 90
2005/03/03, 264, 90
2005/03/02, 264, 90
2005/03/01, 263, 90
2005/02/28, 263, 90
2005/02/27, 262, 90
2005/02/26, 262, 90
2005/02/25, 262, 90
2005/02/24, 261, 89
2005/02/23, 259, 89
2005/02/22, 259, 89
2005/02/21, 259, 88
2005/02/19, 259, 88
2005/02/18, 244, 88
2005/02/17, 244, 87
2005/02/16, 244, 87
2005/02/15, 244, 87
2005/02/14, 243, 87
2005/02/13, 243, 87
2005/02/13, 243, 87
2005/02/13, 243, 87
2005/02/11, 242, 87
2005/02/10, 242, 86
2005/02/09, 240, 85
2005/02/08, 240, 85
2005/02/07, 240, 85
2005/02/06, 239, 85
2005/02/05, 231, 84
2005/02/04, 231, 84
2005/02/03, 232, 83
2005/02/02, 232, 83
2005/02/01, 231, 82
2005/01/31, 228, 82
2005/01/30, 228, 82
2005/01/29, 228, 82
2005/01/28, 232, 80
2005/01/27, 211, 79
2005/01/26, 225, 80
2005/01/25, 225, 80
2005/01/24, 224, 78
2005/01/23, 224, 78
2005/01/22, 224, 78
2005/01/20, 224, 78
2005/01/19, 224, 78
2005/01/18, 224, 77
2005/01/17, 224, 77
2005/01/16, 224, 77
2005/01/15, 224, 77
2005/01/14, 224, 77
2005/01/13, 224, 77
2005/01/12, 224, 77
2005/01/11, 218, 76
2005/01/10, 218, 76
2005/01/09, 218, 76
2005/01/08, 218, 76
2005/01/03, 218, 76
2005/01/02, 218, 76
2005/01/01, 218, 76
2004/12/30, 218, 76
2004/12/27, 218, 76
2004/12/24, 218, 76
2004/12/22, 218, 75
2004/12/20, 218, 75
2004/12/19, 218, 75
2004/12/18, 217, 75
2004/12/17, 217, 75
2004/12/16, 217, 74
2004/12/13, 216, 74
2004/12/10, 216, 74
2004/12/09, 216, 74
2004/12/08, 216, 74
2004/12/07, 216, 74
2004/12/06, 216, 73
2004/12/04, 216, 73
2004/11/30, 214, 73
2004/11/29, 213, 73
2004/11/28, 213, 72
2004/11/27, 213, 72
2004/11/25, 213, 72
2004/11/24, 213, 72
2004/11/23, 211, 72
2004/11/22, 210, 71
2004/11/21, 210, 71
2004/11/20, 210, 71
2004/11/19, 208, 69
2004/11/18, 208, 69
2004/11/17, 204, 67
2004/11/16, 201, 66
2004/11/15, 203, 67
2004/11/12, 202, 68
2004/11/11, 202, 68
