Lines of Code in the pypy subtree
date, lines of code, lines of testcode
2005/12/20, 159100, 36030
2005/12/19, 159083, 36018
2005/12/18, 159070, 35868
2005/12/17, 158902, 35713
2005/12/16, 158822, 35712
2005/12/15, 158751, 35651
2005/12/14, 158266, 35238
2005/12/13, 158273, 35108
2005/12/12, 157583, 35018
2005/12/11, 157466, 35017
2005/12/10, 157305, 34891
2005/12/09, 156931, 34791
2005/12/08, 156568, 33832
2005/12/07, 154963, 33506
2005/12/06, 154069, 33216
2005/12/05, 154085, 33187
2005/12/04, 154104, 33187
2005/12/03, 153937, 33205
2005/12/02, 153897, 33205
2005/12/01, 153738, 33186
2005/11/30, 153293, 33011
2005/11/29, 153246, 33011
2005/11/28, 153190, 33011
2005/11/27, 152884, 32862
2005/11/25, 152830, 32830
2005/11/23, 152830, 32830
2005/11/23, 152830, 32830
2005/11/22, 152844, 32830
2005/11/21, 152822, 32825
2005/11/19, 152702, 32718
2005/11/18, 152704, 32718
2005/11/17, 152702, 32718
2005/11/16, 152126, 32718
2005/11/15, 152151, 32690
2005/11/14, 152151, 32690
2005/11/13, 152123, 32696
2005/11/12, 152031, 32696
2005/11/11, 152031, 32696
2005/11/10, 151995, 32548
2005/11/09, 152051, 32550
2005/11/08, 152062, 32545
2005/11/07, 152059, 32545
2005/11/06, 152076, 32545
2005/11/05, 152018, 32514
2005/11/04, 151923, 32514
2005/11/03, 151918, 32514
2005/11/02, 151918, 32514
2005/11/01, 151913, 32508
2005/10/31, 151905, 32496
2005/10/30, 151701, 32470
2005/10/29, 151768, 32470
2005/10/28, 151704, 32470
2005/10/27, 151521, 32461
2005/10/26, 156875, 32344
2005/10/25, 156761, 31982
2005/10/24, 156358, 31940
2005/10/23, 156153, 31954
2005/10/22, 156124, 31942
2005/10/21, 156006, 31832
2005/10/20, 155670, 31818
2005/10/19, 155548, 31764
2005/10/18, 155323, 31407
2005/10/17, 155558, 31306
2005/10/16, 155503, 31283
2005/10/15, 155217, 31128
2005/10/14, 154456, 30886
2005/10/13, 153234, 30314
2005/10/12, 153415, 30315
2005/10/11, 152893, 30132
2005/10/10, 152248, 29917
2005/10/09, 150340, 28002
2005/10/08, 150336, 28002
2005/10/07, 150310, 27981
2005/10/06, 150147, 27867
2005/10/05, 161650, 28403
2005/10/04, 161652, 28325
2005/10/03, 161470, 28231
2005/10/02, 161405, 28148
2005/10/01, 161217, 28060
2005/09/30, 161908, 28024
2005/09/29, 161926, 27969
2005/09/28, 161945, 27912
2005/09/27, 161746, 27929
2005/09/26, 161707, 27865
2005/09/25, 161178, 27660
2005/09/24, 161159, 27660
2005/09/23, 161014, 27616
2005/09/22, 160766, 27591
2005/09/21, 160716, 27585
2005/09/20, 160520, 27565
2005/09/19, 160423, 27449
2005/09/18, 160256, 27417
2005/09/17, 160147, 27417
2005/09/16, 160250, 27355
2005/09/15, 160186, 27308
2005/09/14, 160100, 27289
2005/09/13, 160295, 27222
2005/09/12, 159914, 27003
2005/09/11, 159590, 26842
2005/09/10, 159474, 26604
2005/09/09, 159532, 26410
2005/09/08, 159095, 26194
2005/09/07, 159089, 26078
2005/09/06, 158929, 26044
2005/09/05, 153175, 25883
2005/09/04, 152749, 25883
2005/09/03, 152637, 25829
2005/09/02, 152608, 25829
2005/09/01, 152432, 25673
2005/08/31, 152475, 25673
2005/08/30, 152432, 25655
2005/08/29, 152082, 25747
2005/08/28, 151807, 25680
2005/08/27, 151828, 25688
2005/08/26, 151296, 25435
2005/08/25, 150138, 25151
2005/08/24, 150268, 24873
2005/08/23, 149698, 24405
2005/08/22, 149110, 24116
2005/08/20, 148620, 23925
2005/08/19, 148620, 23925
2005/08/18, 147807, 23409
2005/08/17, 147700, 23385
2005/08/16, 147613, 23353
2005/08/15, 147602, 23349
2005/08/14, 147325, 23329
2005/08/13, 147307, 23316
2005/08/12, 147266, 23259
2005/08/11, 146795, 23113
2005/08/10, 146311, 22828
2005/08/09, 145674, 21822
2005/08/08, 145076, 21661
2005/08/07, 144812, 21489
2005/08/06, 144699, 21466
2005/08/05, 144471, 21098
2005/08/04, 144278, 20895
2005/08/03, 143636, 20718
2005/08/02, 141678, 19969
2005/07/31, 140413, 19866
2005/07/30, 140023, 19365
2005/07/29, 139511, 19128
2005/07/28, 139093, 18793
2005/07/27, 135175, 18670
2005/07/26, 134555, 18519
2005/07/25, 133921, 18324
2005/07/24, 133359, 18035
2005/07/23, 133322, 18020
2005/07/22, 133289, 18016
2005/07/21, 133068, 17799
2005/07/20, 132758, 17419
2005/07/19, 132611, 17276
2005/07/18, 135877, 17663
2005/07/15, 135695, 17468
2005/07/14, 135576, 17401
2005/07/13, 135456, 17254
2005/07/12, 134835, 17106
2005/07/11, 134472, 16944
2005/07/10, 134279, 16770
2005/07/09, 134189, 16711
2005/07/07, 134141, 16707
2005/07/06, 133732, 16589
2005/07/05, 132622, 16446
2005/07/04, 127161, 16176
2005/07/03, 126972, 16148
2005/07/02, 114021, 15697
2005/07/01, 114035, 15625
2005/06/30, 113952, 15603
2005/06/29, 113952, 15603
2005/06/28, 113886, 15562
2005/06/26, 113883, 15561
2005/06/25, 113704, 15474
2005/06/24, 113296, 15214
2005/06/23, 114363, 15004
2005/06/22, 113623, 14689
2005/06/21, 113628, 14678
2005/06/20, 113060, 14432
2005/06/19, 112774, 14332
2005/06/18, 112462, 14266
2005/06/17, 111660, 14165
2005/06/16, 111272, 13979
2005/06/15, 111031, 13891
2005/06/14, 111088, 13725
2005/06/13, 112895, 13446
2005/06/12, 112856, 13332
2005/06/11, 112825, 13178
2005/06/10, 112796, 13151
2005/06/09, 112505, 13115
2005/06/08, 113246, 12999
2005/06/07, 104662, 12955
2005/06/06, 104657, 12995
2005/06/05, 103949, 12880
2005/06/04, 102228, 13525
2005/06/03, 101734, 13461
2005/06/02, 101619, 13444
2005/06/01, 101442, 13353
2005/05/31, 100942, 13201
2005/05/30, 100321, 13014
2005/05/29, 100002, 12811
2005/05/28, 99760, 12742
2005/05/27, 99874, 12742
2005/05/26, 99681, 12701
2005/05/25, 99295, 12693
2005/05/24, 99080, 12693
2005/05/23, 98647, 12664
2005/05/22, 73426, 12608
2005/05/21, 73363, 12587
2005/05/20, 71816, 12433
2005/05/19, 71673, 12429
2005/05/18, 79865, 12413
2005/05/17, 66595, 13184
2005/05/16, 66562, 13121
2005/05/15, 66548, 13088
2005/05/14, 64917, 12761
2005/05/13, 64811, 12749
2005/05/12, 64790, 12735
2005/05/11, 64484, 12685
2005/05/10, 64144, 12557
2005/05/09, 63755, 12352
2005/05/08, 63690, 12349
2005/05/07, 63552, 12329
2005/05/06, 63489, 12329
2005/05/05, 63428, 12267
2005/05/04, 63289, 12171
2005/05/03, 63010, 12163
2005/05/02, 62628, 12096
2005/05/01, 62128, 11466
2005/04/30, 63937, 16140
2005/04/29, 63797, 15974
2005/04/28, 61815, 15250
2005/04/27, 61763, 15262
2005/04/26, 60919, 15192
2005/04/25, 60595, 15369
2005/04/24, 58807, 14955
2005/04/23, 58565, 14939
2005/04/22, 58565, 14939
2005/04/21, 58521, 14898
2005/04/20, 58504, 14881
2005/04/19, 59131, 14097
2005/04/18, 59087, 14047
2005/04/17, 59013, 14000
2005/04/16, 59050, 13979
2005/04/15, 58914, 13931
2005/04/14, 58819, 13856
2005/04/13, 58464, 13699
2005/04/12, 58127, 13668
2005/04/11, 57717, 13522
2005/04/10, 57578, 13545
2005/04/09, 57270, 13538
2005/04/08, 57306, 13520
2005/04/07, 56983, 13422
2005/04/06, 56885, 13380
2005/04/05, 56748, 13356
2005/04/04, 56579, 13340
2005/04/03, 56272, 13325
2005/04/02, 56072, 13325
2005/04/01, 55751, 13280
2005/03/31, 54997, 13276
2005/03/30, 54890, 13167
2005/03/29, 54788, 13157
2005/03/28, 54272, 13111
2005/03/27, 54216, 13108
2005/03/24, 54198, 13096
2005/03/23, 54091, 13093
2005/03/22, 54019, 15607
2005/03/21, 50164, 15056
2005/03/20, 50569, 15353
2005/03/19, 48756, 11768
2005/03/17, 48791, 11755
2005/03/15, 48683, 11755
2005/03/14, 48645, 11755
2005/03/13, 48629, 11754
2005/03/12, 48605, 11671
2005/03/11, 48566, 11653
2005/03/10, 48463, 11638
2005/03/06, 47912, 11638
2005/03/05, 47888, 11628
2005/03/04, 47719, 11596
2005/03/03, 47863, 11666
2005/03/02, 47765, 11661
2005/03/01, 47635, 11565
2005/02/28, 47752, 11643
2005/02/27, 47624, 11627
2005/02/26, 47624, 11627
2005/02/25, 47623, 11627
2005/02/24, 47429, 11567
2005/02/23, 47309, 11563
2005/02/22, 47252, 11557
2005/02/21, 47207, 11362
2005/02/19, 47139, 11363
2005/02/18, 46949, 11283
2005/02/17, 46971, 11167
2005/02/16, 46912, 11167
2005/02/15, 46912, 11167
2005/02/14, 46513, 11092
2005/02/13, 46454, 11085
2005/02/13, 46454, 11085
2005/02/13, 46454, 11085
2005/02/11, 43929, 11085
2005/02/10, 43918, 11075
2005/02/09, 37442, 11055
2005/02/08, 37341, 11046
2005/02/07, 37299, 11031
2005/02/06, 37347, 11064
2005/02/05, 36551, 10929
2005/02/04, 36471, 10929
2005/02/03, 37045, 10890
2005/02/02, 36931, 10843
2005/02/01, 36390, 10292
2005/01/31, 35541, 10266
2005/01/30, 35430, 10266
2005/01/29, 35440, 10266
2005/01/28, 35443, 9696
2005/01/27, 31118, 9024
2005/01/26, 33547, 9492
2005/01/25, 33281, 9335
2005/01/24, 32679, 8707
2005/01/23, 32486, 8707
2005/01/22, 32108, 8555
2005/01/20, 32091, 8560
2005/01/19, 32110, 8543
2005/01/18, 32110, 8166
2005/01/17, 32110, 8166
2005/01/16, 32108, 8165
2005/01/15, 32108, 8154
2005/01/14, 32103, 8154
2005/01/13, 32095, 8154
2005/01/12, 32119, 8145
2005/01/11, 30569, 8097
2005/01/10, 30702, 8130
2005/01/09, 30701, 8248
2005/01/08, 30701, 8256
2005/01/03, 30565, 8352
2005/01/02, 30565, 8357
2005/01/01, 30565, 8357
2004/12/30, 30860, 8378
2004/12/27, 30860, 8375
2004/12/24, 30812, 8383
2004/12/22, 30939, 8352
2004/12/20, 30881, 8352
2004/12/19, 30881, 8352
2004/12/18, 30760, 8352
2004/12/17, 30748, 8342
2004/12/16, 30679, 8332
2004/12/13, 30652, 8332
2004/12/10, 30631, 8332
2004/12/09, 30622, 8318
2004/12/08, 30490, 8273
2004/12/07, 30489, 8273
2004/12/06, 30465, 8242
2004/12/04, 30404, 8242
2004/11/30, 30261, 8242
2004/11/29, 30175, 8232
2004/11/28, 30151, 8115
2004/11/27, 30150, 8115
2004/11/25, 30148, 8115
2004/11/24, 30139, 8115
2004/11/23, 30041, 8108
2004/11/22, 29505, 8005
2004/11/21, 29516, 7927
2004/11/20, 29449, 7880
2004/11/19, 28244, 7206
2004/11/18, 27590, 7162
2004/11/17, 26504, 6927
2004/11/16, 26131, 6829
2004/11/15, 25751, 6829
2004/11/12, 26169, 6917
2004/11/11, 26170, 6917
